,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
60,309,100,2,3.0,3.0,8.1,0
298,330,114,3,4.5,4.5,9.24,1
228,318,112,3,4.0,3.5,8.67,0
141,332,118,2,4.5,3.5,9.36,1
3,322,110,3,3.5,2.5,8.67,1
405,302,99,3,2.5,3.0,7.45,0
330,327,113,3,3.5,3.0,8.66,1
302,322,105,2,3.0,3.0,8.45,1
176,329,119,4,4.5,4.5,9.16,1
125,300,100,3,2.0,3.0,8.66,1
372,336,119,4,4.5,4.0,9.62,1
358,314,105,2,2.5,2.0,7.64,0
336,319,110,3,3.0,2.5,8.79,0
338,323,108,5,4.0,4.0,8.74,1
425,323,111,5,4.0,5.0,9.86,1
25,340,120,5,4.5,4.5,9.6,1
216,322,112,4,4.5,4.5,9.26,1
277,320,101,2,2.5,3.0,8.62,0
404,311,101,3,2.0,2.5,7.64,1
445,328,116,5,4.5,5.0,9.08,1
335,325,111,4,4.0,4.5,9.11,1
76,327,112,3,3.0,3.0,8.72,1
442,331,116,4,4.5,4.5,9.44,1
105,316,110,3,4.0,4.5,8.78,1
273,312,99,1,1.0,1.5,8.01,1
85,319,103,4,4.5,3.5,8.66,0
189,324,112,5,5.0,5.0,9.08,1
180,300,104,3,3.5,3.0,8.16,0
406,322,103,4,3.0,2.5,8.02,1
107,338,117,4,3.5,4.5,9.46,1
184,316,106,2,2.5,4.0,8.32,0
208,305,106,2,3.0,3.0,8.16,0
97,331,120,3,4.0,4.0,8.96,1
315,308,104,2,2.5,3.0,8.07,0
463,304,107,3,3.5,3.0,7.86,0
192,322,114,5,4.5,4.0,8.94,1
421,321,112,3,3.0,4.5,8.95,1
151,332,116,5,5.0,5.0,9.28,1
132,309,105,5,3.5,3.5,8.56,0
52,334,116,4,4.0,3.0,8.0,1
256,309,99,3,4.0,4.0,8.56,0
364,313,102,3,3.5,4.0,8.9,1
68,318,109,3,3.5,4.0,9.22,1
169,311,99,2,2.5,3.0,7.98,0
366,320,104,3,3.5,4.5,8.34,1
255,307,110,4,4.0,4.5,8.37,0
164,329,111,4,4.5,4.0,9.01,1
214,331,117,4,4.5,5.0,9.42,1
493,300,95,2,3.0,1.5,8.22,1
46,329,114,5,4.0,5.0,9.3,1
439,312,105,2,1.5,3.0,8.46,0
325,326,116,3,3.5,4.0,9.14,1
188,331,115,5,4.5,3.5,9.36,1
432,324,112,4,4.5,4.0,9.22,1
171,334,117,5,4.0,4.5,9.07,1
437,317,106,1,1.5,3.5,7.65,1
122,310,106,4,1.5,2.5,8.36,0
392,326,112,4,4.0,3.5,9.12,1
394,329,111,4,4.5,4.0,9.23,1
21,325,114,4,3.0,2.0,8.4,0
157,309,104,2,2.0,2.5,8.26,0
391,318,106,3,2.0,3.0,8.65,0
113,320,110,2,4.0,3.5,8.56,0
129,333,118,5,5.0,5.0,9.35,1
127,319,112,3,2.5,2.0,8.71,1
262,308,103,2,2.5,4.0,8.36,1
93,301,97,2,3.0,3.0,7.88,1
224,305,105,2,3.0,2.0,8.23,0
401,315,105,2,3.0,3.0,8.34,0
386,302,101,2,2.5,3.5,7.96,0
400,304,100,2,3.5,3.0,8.22,0
14,311,104,3,3.5,2.0,8.2,1
118,296,99,2,3.0,3.5,7.28,0
331,311,105,2,3.0,2.0,8.12,1
1,324,107,4,4.0,4.5,8.87,1
300,309,106,2,2.5,2.5,8.0,0
486,319,102,3,2.5,2.5,8.37,0
365,330,114,4,4.5,3.0,9.17,1
270,306,105,2,2.5,3.0,8.22,1
494,301,99,3,2.5,2.0,8.45,1
485,311,101,2,2.5,3.5,8.34,1
424,325,114,5,4.0,5.0,9.46,1
217,321,109,4,4.0,4.0,9.13,1
82,320,110,5,5.0,4.5,9.22,1
95,304,100,4,1.5,2.5,7.84,0
374,315,105,2,2.0,2.5,7.65,0
204,298,105,3,3.5,4.0,8.54,0
16,317,107,3,4.0,3.0,8.7,0
119,327,104,5,3.0,3.5,8.84,1
371,324,110,3,3.5,3.0,9.22,1
