,Chance of Admit 
60,0.48
298,0.9
228,0.71
141,0.9
3,0.8
405,0.52
330,0.8
302,0.65
176,0.9
125,0.64
372,0.95
358,0.7
336,0.72
338,0.81
425,0.92
25,0.94
216,0.91
277,0.7
404,0.62
445,0.91
335,0.83
76,0.74
442,0.92
105,0.69
273,0.52
85,0.76
189,0.88
180,0.71
406,0.61
107,0.91
184,0.72
208,0.64
97,0.86
315,0.65
463,0.57
192,0.86
421,0.77
151,0.94
132,0.71
52,0.78
256,0.76
364,0.77
68,0.68
169,0.65
366,0.74
255,0.79
164,0.81
214,0.94
493,0.62
46,0.86
439,0.66
325,0.81
188,0.93
432,0.86
171,0.89
437,0.61
122,0.57
392,0.84
394,0.89
21,0.7
157,0.65
391,0.71
113,0.72
129,0.92
127,0.78
262,0.7
93,0.44
224,0.67
401,0.66
386,0.46
400,0.63
14,0.61
118,0.47
331,0.73
1,0.76
300,0.62
486,0.68
365,0.86
270,0.72
494,0.68
485,0.7
424,0.91
217,0.85
82,0.92
95,0.42
374,0.39
204,0.69
16,0.66
119,0.71
371,0.89
361,0.93
268,0.83
251,0.7
276,0.89
377,0.47
403,0.91
230,0.73
413,0.49
464,0.45
303,0.73
448,0.8
260,0.87
339,0.81
499,0.84
66,0.61
324,0.67
332,0.75
267,0.73
83,0.92
367,0.57
90,0.64
10,0.52
47,0.89
31,0.74
489,0.65
235,0.88
104,0.74
491,0.54
461,0.68
22,0.94
206,0.63
247,0.71
289,0.79
305,0.74
7,0.68
422,0.73
74,0.74
283,0.8
236,0.85
265,0.71
53,0.72
35,0.88
49,0.78
487,0.79
43,0.87
323,0.62
285,0.93
58,0.36
36,0.64
70,0.94
64,0.52
111,0.69
328,0.8
470,0.87
55,0.64
32,0.91
416,0.65
146,0.75
199,0.72
294,0.61
375,0.38
121,0.94
497,0.93
94,0.36
444,0.92
48,0.82
427,0.71
252,0.71
250,0.74
144,0.8
166,0.65
98,0.9
450,0.82
430,0.74
299,0.71
162,0.67
26,0.76
110,0.61
362,0.91
59,0.42
2,0.72
479,0.79
443,0.87
274,0.58
441,0.79
61,0.47
307,0.8
419,0.58
415,0.76
215,0.93
182,0.68
69,0.78
453,0.73
143,0.97
186,0.84
446,0.93
89,0.74
457,0.37
77,0.64
474,0.67
496,0.96
259,0.9
201,0.72
468,0.81
435,0.55
312,0.78
368,0.51
248,0.8
308,0.69
170,0.68
183,0.75
376,0.34
317,0.58
360,0.85
378,0.56
304,0.62
225,0.61
288,0.82
290,0.58
0,0.92
229,0.82
447,0.84
237,0.86
399,0.95
220,0.76
293,0.64
187,0.93
481,0.78
116,0.56
209,0.68
460,0.77
161,0.53
238,0.7
346,0.47
388,0.49
266,0.72
469,0.86
354,0.59
329,0.43
353,0.63
417,0.52
242,0.7
136,0.76
114,0.59
221,0.75
306,0.79
314,0.66
50,0.76
310,0.76
152,0.86
198,0.7
79,0.46
211,0.82
63,0.56
456,0.51
337,0.94
137,0.71
393,0.77
23,0.95
148,0.96
363,0.69
426,0.71
223,0.71
301,0.66
172,0.86
348,0.57
173,0.89
482,0.83
275,0.78
295,0.68
477,0.65
492,0.53
163,0.68
475,0.59
108,0.93
147,0.83
379,0.71
234,0.91
126,0.85
39,0.48
71,0.96
257,0.78
352,0.64
254,0.85
13,0.62
226,0.63
407,0.58
311,0.84
167,0.64
449,0.79
490,0.67
65,0.55
33,0.9
207,0.66
467,0.78
498,0.73
279,0.67
239,0.59
185,0.89
84,0.94
195,0.78
284,0.94
292,0.56
24,0.97
38,0.52
15,0.54
96,0.48
133,0.79
240,0.6
109,0.68
54,0.7
232,0.69
73,0.84
29,0.54
384,0.96
318,0.79
80,0.5
112,0.62
258,0.77
269,0.77
495,0.87
420,0.42
202,0.97
120,0.94
91,0.38
321,0.73
333,0.71
452,0.93
473,0.67
212,0.95
436,0.58
291,0.56
72,0.93
316,0.54
231,0.74
350,0.74
106,0.87
62,0.54
253,0.93
115,0.66
319,0.8
434,0.64
397,0.91
130,0.96
103,0.57
423,0.94
418,0.6
261,0.71
373,0.79
465,0.54
135,0.82
462,0.62
150,0.93
347,0.42
272,0.49
34,0.94
429,0.95
17,0.65
402,0.78
86,0.72
345,0.49
263,0.7
412,0.59
466,0.71
484,0.73
245,0.81
297,0.86
123,0.61
222,0.76
342,0.58
428,0.69
355,0.73
281,0.8
408,0.57
190,0.9
385,0.96
155,0.77
5,0.9
42,0.53
359,0.81
356,0.79
88,0.64
320,0.75
334,0.73
340,0.75
4,0.65
81,0.96
27,0.44
282,0.81
480,0.8
154,0.8
174,0.87
149,0.79
20,0.64
159,0.52
191,0.87
476,0.62
18,0.63
286,0.92
478,0.71
244,0.63
57,0.46
471,0.64
75,0.72
343,0.59
381,0.73
37,0.58
153,0.79
396,0.84
101,0.64
