,yr,temp,hum,windspeed,days_since_2011,season_FALL,season_SPRING,season_SUMMER,season_WINTER,holiday_HOLIDAY,workingday_WORKING DAY,weathersit_GOOD,weathersit_MISTY,weathersit_RAIN/SNOW/STORM
59,2011,4.533349,53.5,14.500475,59,0,0,0,1,0,1,1,0,0
700,2012,6.021651,80.6667,4.0001814,700,1,0,0,0,0,0,0,1,0
662,2012,19.6125,63.625,4.8762064,662,1,0,0,0,0,1,1,0,0
688,2012,9.899151,62.3333,15.749489,688,1,0,0,0,0,1,0,1,0
222,2011,25.7225,42.375,11.041332,222,0,0,1,0,0,1,1,0,0
686,2012,7.275,54.5417,12.041843,686,1,0,0,0,0,0,1,0,0
591,2012,26.153349,68.6667,11.333586,591,0,0,1,0,0,1,1,0,0
201,2011,30.305,69.125,14.875407,201,0,0,1,0,0,1,0,1,0
458,2012,13.933349,39.6667,6.708911,458,0,1,0,0,0,1,1,0,0
191,2011,27.8375,63.5833,18.916579,191,0,0,1,0,0,1,1,0,0
449,2012,12.5625,88.0833,14.791925,449,0,1,0,0,0,0,0,1,0
607,2012,25.213349,59.0417,5.1668189,607,0,0,1,0,0,1,1,0,0
451,2012,7.196651,29.0,12.541864,451,0,1,0,0,0,1,1,0,0
277,2011,17.301651,64.7917,11.87575,277,1,0,0,0,0,1,1,0,0
466,2012,8.388712,46.9565,19.783358,466,0,1,0,0,0,1,1,0,0
339,2011,13.7375,94.9583,15.583061,339,1,0,0,0,0,1,0,0,1
133,2011,16.479151,92.25,9.04165,133,0,1,0,0,0,0,0,1,0
287,2011,15.813349,48.3333,17.291561,287,1,0,0,0,0,0,1,0,0
639,2012,16.479151,64.9167,6.0838814,639,1,0,0,0,0,1,0,1,0
415,2012,5.16,50.7826,15.348561,415,0,0,0,1,1,0,1,0,0
540,2012,26.936651,47.9167,9.750175,540,0,0,1,0,0,0,1,0,0
616,2012,22.980849,79.9167,18.833968,616,0,0,1,0,0,0,0,1,0
257,2011,19.1425,70.9167,18.166782,257,0,0,1,0,0,1,0,1,0
510,2012,23.96,74.7083,9.41685,510,0,1,0,0,0,1,1,0,0
511,2012,24.5475,73.25,13.332464,511,0,1,0,0,0,0,1,0,0
692,2012,9.311651,56.875,9.917407,692,1,0,0,0,0,1,1,0,0
542,2012,21.649151,37.3333,23.292014,542,0,0,1,0,0,1,1,0,0
130,2011,17.4975,63.2917,8.083014,130,0,1,0,0,0,1,1,0,0
634,2012,21.845,63.0833,16.3748,634,1,0,0,0,0,1,1,0,0
350,2011,4.141651,56.0833,16.292189,350,1,0,0,0,0,0,0,1,0
599,2012,23.3725,67.7083,4.7089811,599,0,0,1,0,0,1,1,0,0
