,cnt
59,1851
700,5191
662,7693
688,5499
222,4792
686,5629
591,6784
201,3784
458,6772
191,4086
449,4996
607,7713
451,5102
277,4826
466,4862
339,2594
133,3409
287,5217
639,6778
415,3129
540,6891
616,5976
257,3659
510,6734
511,6536
692,3910
542,7442
130,4182
634,7733
350,2739
599,7375
393,3243
110,4189
329,3068
168,5119
614,6203
386,1977
492,6273
567,4459
509,6770
482,6233
101,2034
621,7804
566,5870
187,4592
404,3830
730,2729
34,1708
91,2252
28,1098
71,2417
317,4486
606,7697
568,7410
507,6073
355,3068
354,2660
453,6133
446,6871
374,3598
681,6269
413,4318
593,7605
84,2496
722,1787
443,6153
543,7335
255,4763
649,7570
126,4714
441,7836
152,4968
333,3613
99,2895
219,4326
562,6830
608,7350
6,1510
269,4120
320,3053
620,7870
589,6544
518,8120
268,4630
612,6864
218,3785
240,4634
72,2046
248,2710
229,3805
631,7907
663,7359
87,2425
627,7591
539,7458
623,8714
259,4511
238,1115
50,1812
421,3389
696,3959
501,7424
37,1712
611,6034
289,4570
251,3544
547,5531
53,1917
626,4073
659,6824
461,6460
288,5041
172,4507
541,6779
15,1204
572,6861
314,3368
481,5026
203,3285
364,2485
399,2832
279,4985
258,4760
30,1501
247,3351
597,6530
660,7058
369,3272
644,7965
411,3005
414,2689
336,3614
707,5582
465,5918
57,2402
235,5130
139,4917
544,6879
45,1815
353,3750
357,1011
81,2121
20,1543
632,7436
580,7175
275,3570
69,1977
432,5382
625,6869
672,5138
723,920
185,4665
512,6591
419,3487
706,5008
10,1263
385,1301
178,4648
712,5532
298,3894
179,5225
546,5687
708,3228
406,2169
190,4881
506,4359
558,7446
371,4521
196,5923
186,4629
488,6421
677,5315
464,5585
652,6639
40,1538
27,1167
245,4484
409,3922
641,7572
437,5847
149,4098
596,4549
555,6569
48,2927
643,8156
331,3867
63,2077
17,683
651,7109
340,705
158,4401
304,4068
729,1796
474,6565
151,3974
120,3351
285,2913
418,5062
595,7865
88,1536
505,7129
55,1461
114,4073
358,754
220,4602
243,5115
728,1341
171,4835
452,5698
671,5847
271,4839
601,7582
337,3485
380,2298
74,2192
250,1842
586,7286
286,3644
537,5905
85,1693
228,4694
389,4270
370,4098
571,8173
485,5572
450,5558
280,5409
260,4274
23,1416
262,3641
683,5495
381,2935
164,4891
679,6536
207,4656
102,2162
216,4866
347,3740
266,5423
7,959
430,3956
104,3126
714,5047
239,4334
254,4713
246,4940
352,3403
9,1321
106,3744
334,3727
655,7461
41,1746
387,2432
469,7460
225,3820
290,4748
343,3190
108,3204
498,6118
514,5743
338,3811
309,3649
520,6998
359,1317
66,2133
54,1807
719,4128
124,4433
687,4669
46,2115
