,y
32964,1612.245961740574
40454,1611.4296238248555
147570,1593.278103159275
115765,1669.590934552133
106561,1690.2501041349635
140932,1596.900079715586
185020,1586.6449961207
139136,1586.2351811521253
65081,1880.181608916904
145274,1704.3691257399844
5964,1637.894950680981
136877,1708.00203342849
81099,1653.1354716231583
146342,1742.4282079251198
46581,1653.8137991142776
135653,1733.1371686659718
116689,1635.3644429920096
32691,1649.389715109848
185458,1621.3584068392106
116661,1635.1694732044475
173611,1634.2485672505318
54092,1655.7660799111932
6945,1641.057308465169
23681,1640.177246206235
196248,1659.7390929848846
59380,1645.6377262732208
144824,1602.513916778718
50170,1610.7683750591764
159458,1590.140297669472
80830,1729.8088422630003
181082,1746.1296309443408
109433,1687.8959411542064
196980,1757.2697243627142
110080,1621.6270544694123
18793,1648.7691817097832
127068,1684.2502827980643
129505,1675.1717497317904
78838,1845.010066288049
148126,1614.7211563742726
50181,1701.3218882923188
28397,1633.286367785705
59704,1713.3514732931826
119334,1614.502728516269
50717,1630.9575354827236
67412,1620.610901747312
17285,1621.6072081707205
162080,1602.7116946084686
79404,1590.172418762855
92413,1698.244522849341
60797,1662.9538794513785
32213,1640.9427887624354
137253,1589.44151459973
23946,1648.4817188221514
120142,1644.265203286221
129180,1641.6607379931588
120809,1595.191939412719
163125,1606.1560210871714
138348,1671.460603550968
126514,1733.5314812844456
95324,1627.0703978728134
23775,1692.3957782252653
181712,1651.297045492801
158621,1639.0809733909405
68006,1669.0402211351256
175888,1634.3398515021586
110667,1612.4169023279017
113149,1624.8390083038068
114068,1615.1165764032369
173443,1620.6255365635243
151129,1666.738300358557
72333,1613.1421970847646
88867,1634.8641269252228
76644,1617.869413777933
138122,1580.0617246311815
191004,1751.1960216094567
102418,1931.6295484846569
20476,1640.6565346081322
90441,1630.5108169788548
75032,1743.5985467470257
62480,1664.2026570693467
174112,1673.7090815637673
191090,1640.9655069236928
50110,1654.8892740050865
25415,1649.6516423507346
149719,1696.9706833116409
55895,1629.0833790303927
176976,1642.3356806020515
30458,1611.3527879610529
2805,1635.8782755355353
192647,1661.5617881923065
170700,1601.711322041939
100898,1704.249658133865
111112,1631.787073278499
50774,1661.4084752646747
153711,1744.145228008621
109772,1646.5504281697083
163698,1727.7988765134833
46694,1616.7658265922173
86742,1622.559958910446
61559,1644.0499532871966
14064,1654.7206233136865
189060,1607.966866477679
21071,1811.560813226382
9936,1869.237402561602
48968,1615.9388688026777
26732,1613.626746744384
157755,1622.6207282036728
88429,1622.621714145945
179297,1646.6149808581308
166743,1735.4208768006044
100305,1659.479984069539
158302,1644.0462469846489
48993,1652.0253374208933
137480,1642.3832672051549
79319,1620.4538728145726
169361,1594.6868428487426
163403,1760.8518194647413
154547,1576.0919553698927
59866,1677.4411324398277
68518,1721.10499786969
107924,1744.2308519113085
190011,1657.0555431569535
77977,1643.1280531987527
53728,1740.3789232578788
90088,1642.6220597593333
150762,1625.8995702786042
15369,1610.352356392829
142307,1660.222081119504
40083,1700.0539687156083
63041,1608.529320642508
182802,1627.6433499763743
178888,1628.5916747753026
173125,1795.0808109242482
147760,1662.3015651968826
83873,1617.549739247757
184873,1588.2360715446364
100161,1639.5140636506303
3868,1635.9307311700422
29848,1590.204214634132
36425,1659.7487102762034
153631,1646.5588193695378
56470,1695.3428196850325
141542,1693.6025042477938
99874,1663.0451784870686
125748,1621.9593793453405
3874,1608.2367153849964
153994,1794.7151962783237
124627,1625.5771126592483
85570,1632.7806665547732
24141,1610.2901609788244
97851,1643.6563202623731
86759,1624.4943346909224
85768,1644.648451501413
107528,1593.454468600293
111081,1703.304633355115
23274,1711.8882691015356
80877,1628.1832973409662
24975,1784.6898870422162
139961,1631.7867949243769
4977,1703.988094752825
130102,1658.5690387442014
189518,1656.7024566912733
126648,1637.478818587589
67785,1628.603201257842
44752,1745.2946207754862
93732,1642.32205343335
139954,1623.2032153208618
67542,1636.2557188986648
190730,1614.238892097392
131794,1645.9442034681642
93816,1656.5815167585256
103060,1654.1468166047705
124117,1739.77294919137
47083,1655.7296994819374
177364,1622.9821858819375
163596,1620.4602320370575
70352,1644.1527244097929
190515,1717.713190862692
5088,1615.7045283433697
166605,1612.3524295242478
78627,1647.184643019736
14770,1683.9346187538004
21376,1628.8574090328714
14012,1639.7879097672812
39957,1682.974250595091
89049,1606.2458407193851
55405,1599.5475532255748
142772,1624.2314579302672
151093,1620.6071216905536
11542,1631.4094396758558
33635,1624.6471449561038
51682,1636.7289279252136
24510,1607.1421538919649
47747,1621.4420796906163
71737,1653.7076418787433
89977,1602.314874693951
14487,1660.6138929459316
83489,1611.9977214247533
86873,1743.8132597029296
89915,1636.8358889766275
34417,1649.3968223398217
106466,1610.1244495458095
179676,1693.2480423308607
80398,1672.416921950262
157834,1622.495180548479
